image_name|comment_number|comment|Translated Comment
4575380951.jpg|0|A lady in a convent rolling dough in the kitchen .|Гал тогооны өрөөнд орчим зуурсан зуурсан гурилан дахь эмэгтэй.
4575508753.jpg|0|A woman stands behind an ornate arched window , with decorative gold objects hanging on the wall behind her .|Эмэгтэй хүн lenate Achne Acce-ийн ард зогсож, түүний арын ханан дээр өлгөөтэй байдаг.
4575535313.jpg|0|A man with a black and gray jacket with red string hanging on one shoulder smoking a cigarette .|Нэг мөрөн дээр өлгөгдсөн хар, саарал хүрэмтэй нэг хүн тамхи татдаг.
45756278.jpg|0|In front of a building , a man with rolled-up sleeves stands between two others wearing striped vests .|Барилгын урд, өнхрөх ханцуйтай эр хүн судалтай хантааз өмссөн хоёрын хооронд зогсдог.
4575727965.jpg|0|there is a middle-aged women in red and shes kneeling down holding a little boy who looks like he could be her grandson the little boy is wearing a white long-sleeve shirt with blue pants the two of them are next to some grass and in front of a hill of dirt they look like they are posing for a family picture .|Улаан өнгийн дунд насны эмэгтэйчүүдэд тэр өвдөг сөгдөж байсан бяцхан хүү нь хөхтэй, хөх өмдтэй цагаан өнгийн урт ханцуйтай цамц өмсдөг байвХӨДӨЛГӨӨНИЙ ХӨДӨЛМӨРИЙН ХӨДӨЛМӨРИЙГ ХҮСЭХГҮЙ БАЙХГҮЙ БАЙХГҮЙ БАЙНА.
457607803.jpg|0|A lady pouring tea into tea cups with flower print on them .|Нэгэн хатагтай цай ууж буй цай руу цай ууж байна.
4576144189.jpg|0|The sunshine is coming down on a young family enjoying company on their patio .|Нарны гэрэл нь залуу гэр бүл дээр бууж ирдэг.
457625343.jpg|0|"Young Japanese women window shop in front of a store displaying a sign with an English translation of "" Cash and Wrap , "" and featuring a McDonald 's fast food nook ."|"Залуу япончуудын залуучууд ""Бэлэн мөнгө, боож, боож"" гэсэн тэмдэгтэй, MCDONALD-ийн түргэн хоолны дэглэмийг харуулж байна."
457631171.jpg|0|A man stands next to a strange rock formation with his arms in the air .|Эрэгтэй хүн агаарт гараараа хачин чулуулгийн формацын хажууд зогсож байна.
4576510103.jpg|0|A little girl with a kitten graphic on her shirt is riding in the saddle of a brown horse with a black mane next to a fence outside in a green field on a sunny day .|Цамцныхаа зулзагатай бяцхан охин нь нартай, нартай өдөр, Нарны дэргэдэх хашааны хажууд хар морьтой хамт бор морьтой хамт бор морины эмээлтэй морьтой морьтой хамт унадаг.
4576671.jpg|0|A fit girl wearing black slacks and a sports bra is about to get a punching bag with her right leg .|Хар сул өмссөн охин, спортын хөхний даруулга нь баруун хөлөөрөө цүнхийг цоолох гэж байна.
4577036068.jpg|0|Two young boys are headed toward a bicycle parked next to a brick house .|Хоёр залуу хөвгүүд тоосгоны байшингийн хажууд унадаг дугуйгаар унадаг.
4577047554.jpg|0|A woman with blond-hair wearing a red and white dress with a black belt and boots modeling for photographers in the street .|Гудамжинд гэрэлтэй, улаан, цагаан өнгийн хувцас өмссөн шар өнгийн хувцас өмссөн эмэгтэй.
457757906.jpg|0|A man rides a three-wheeled bike with a young boy sitting on the bundles in the back trailer .|Эрэгтэй хүн арын чиргүүл дээр боодолтой сууж буй залуу хүүтэй гурван дугуйтай дугуй унав.
4578161441.jpg|0|An African Boy Is Looking Out From A Wooden Enclosure , He Is Wearing A Chain Necklace .|Африкийн хүү модон хашаанаас гарч байгаа бөгөөд тэр гинжин зүүлт зүүж байна.
4578301899.jpg|0|An Asian man and woman embrace tenderly on a patio with plants .|Азийн хүн, эмэгтэй хүмүүс ургамал бүхий патион дээр зөөлөн тэврэв.
457875937.jpg|0|Two black , brown and white dogs running in green grass with ears up on heads .|Толгой дээр нь чихтэй, чихтэй хоёр хар, хүрэн, цагаан нохой.
4578792667.jpg|0|A large group of people shopping in a marketplace at night .|Шөнийн цагаар зах зээл дээр дэлгүүр хэсдэг.
4578856261.jpg|0|A guy with a backpack and orange bag walks past a large building .|Үүргэвчин, улбар шар өнгийн цүнхтэй залуу том барилга өнгөрч байв.
4579080382.jpg|0|A man holding a cane and wearing a hat is sleeping on a bench .|Наазан барьж, малгай өмссөн хүн сандал дээр унтаж байна.
4579086425.jpg|0|A woman in a flowered dress and a man with a white beard are standing behind an iron guard rail .|Цэцэглэсэн эмэгтэй, цагаан сахал, цагаан сахал бүхий эрэгтэй хүн төмөр хамгаалагч төмөр замын ард зогсож байна.
4579129242.jpg|0|A group of young girls in ethnic orange costumes and bare feet perform a dance on a stage .|Үүлсний улбар шар өнгийн хувцас өмссөн залуу охидын бүлэглэл, нүцгэн хөл нь тайзан дээр бүжиг хийдэг.
4579150154.jpg|0|A gymnast wearing a black leotard is flying through the air .|Хар ирвэс өмссөн гимнастик гимнастик нь агаарт нисч байна.
457922852.jpg|0|A lady sitting in a dark room with a little light , that has a variety of fruit in different sizes of square baskets .|Бага зэрэг гэрэлтэй, бага зэрэг гэрэлтэй, бага зэрэг хөнгөн байдаг, энэ нь янз бүрийн хэмжээтэй байдаг.
4579431117.jpg|0|A young man is sweeping the sidewalk with a red handled broom .|Залуу хүн явган хүний замыг улаан гар бариултай шүүрч авав.
457945610.jpg|0|A little girl in a striped bathing suit jumps in a large body of water .|Судалтай усанд орох костюмтай бяцхан охин нь том биед үсрэв.
4579716766.jpg|0|A man in a red cap and black shirt roasts small fish over an open grill .|Улаан малгай, хар цамц, хар цамц нь жижиг загасыг задгай шарсан махаар шарж иддэг.
4579972123.jpg|0|A woman wearing a yellow blouse is walking on a city sidewalk while a cab whizzes by .|Шар цамц өмссөн эмэгтэй нь хотын явган хүний зам дээр алхаж байна.
458004873.jpg|0|A person sitting on tan bench and man in green shirt standing on black and gray floor .|Тэнгийн вандан сандал дээр сууж буй хүн хар, саарал шалан дээр зогсож байв.
4580064094.jpg|0|A man reaches through a window at a restaurant to pick up a half of a submarine sandwich roll .|Эрэгтэй рестораны цонхноор дамжуулж, шумбагч онгоцны сэндвичний хагасыг авахын тулд ресторанд хүрч байна.
4580064496.jpg|0|A line of blue , green , and white booths line the side of a street outside a store with one man sitting in a booth .|Цэнхэр, ногоон, цагаан, цагаан лангууны шугам нь гудамжинд сууж буй нэг хүн
4580085971.jpg|0|Four ballerinas wearing a black sleeveless shirt , gray skirt , and white pantyhose are standing on their toes while lifting their arms .|Хар ханцуйгүй цамц өмссөн дөрвөн балерин, саарал юбка, цагаан банзал, цагаан пантиос гараа өргөхдөө хөлийнхөө хуруу дээр зогсож байна.
4580275036.jpg|0|A man in sungalsses with a beard wearing a black top hat with pink , green , purple and pink feathers .|Ягаан, ногоон, ногоон, ягаан, ягаан, ягаан өнгийн өтгөн малгай өмссөн сахалтай эр хүн.
4580282343.jpg|0|A ginger woman and a blond woman eat ice cream cones atop a bridge .|Цагаан гаа эмэгтэй, шаргал эмэгтэй, шаргал эмэгтэй мөхөөлдөс иддэг.
4580613274.jpg|0|A man with dark blue clothes , a hat , and sandals sweeps steps with a stick broom .|Харанхуй цэнхэр хувцастай эр, малгай, шаахайнууд нь шатаар шүүрч авав.
4581054154.jpg|0|A man is standing on rocks with water running beneath them .|Эр хүн тэдний доор байгаа устай хамт чулуун дээр зогсож байна.
4581195263.jpg|0|A little boy and little girl are petting a calf through a wooden fence .|Бяцхан хүү, бяцхан охин нь модон хашаагаар тугал авч байна.
4581221645.jpg|0|A man facing the entrance of a restaurant is taking a picture with a camera .|Рестораны үүдэнд тулгарч буй хүн камертай зураг авч байна.
4581225051.jpg|0|Two man are in the shadows of a tent while a black rug hangs in the foreground .|Хоёр хүн сүүдэрт сүүдэрт байдаг.
458160846.jpg|0|This is a black and white image of a man cooking something at a food stand on a street .|Энэ бол гудамжинд хоол хийж буй хоолонд ямар нэгэн зүйл хийж буй хүний хар ба цагаан дүрс юм.
4581834644.jpg|0|A man with his foot up , and woman leaning on her hand , are sitting at a table together outside .|Хөлөө дээшээ, эмэгтэй хүн гар дээрээ бөхийж, гадаа ширээн дээр сууж байна.
458183774.jpg|0|A large tan dog is rolling around on its back in a yard of grass .|Том Тэн нохой нь нуруун дээр өвсөөр тойрон эргэлддэг.
4582021421.jpg|0|Man seems to be at a celebration of some sort and has his arms thrown up in the air .|Хүн зарим нэг ялгааг тэмдэглэж, гараа агаарт хаясан бололтой.
458213442.jpg|0|A black and white dog jumps over a bar in an agility test .|Хар ба цагаан нохой нь эрч хүчтэй тестээр үсрэв.
4582536661.jpg|0|A large advertisement for Coca Cola sits on the counter of a quick service restaurant where a worker can be seen preparing dough .|Coca Cola-д зориулсан том сурталчилгаа нь ажилчдаа зуурмагийг бэлтгэж буйгаар харж болно.
458255256.jpg|0|Two men , one wearing a white vest , and the other wearing a blue polo shirt , practicing martial arts in a park .|Хоёр эрэгтэй, цагаан биелэгдэнэ өмссөн, нөгөө нь цэнхэр поло цамц өмссөн, бусад поло цамц өмссөн, цэцэрлэгт хүрээлэнгийн тулаан зохион байгуулдаг.
4582690868.jpg|0|Two girls smile at one another as the loud crowd carries on with the festivities .|ХОЁРДУГААР ОЛОН УЛСЫН ХУВЬ ХҮНИЙГ ХҮСЭХГҮЙ БАЙНА.
4582754774.jpg|0|A woman holding a kid with one of his hand and holding a drink with other hand in a nice party .|Гараа нэг гараараа хүүхэд барьж, нөгөө гараараа ундаа ууж байгаа эмэгтэй.
4582987099.jpg|0|A boy dressed in red is carrying balloons as he is sitting on the neck of an Asian man .|Улаан өнгөөр хувцасласан хүү нь Азийн хүний хүзүүнд сууж байхдаа бөмбөлөг авч явдаг.
4583731865.jpg|0|Two African-American males wakes a Dallas Mavericks basketball game in classroom .|Африк-Америкийн хоёр эрчүүд Даллас Маверикс сагсан бөмбөгийн бөмбөгийг ангид ордог.
4584191990.jpg|0|A woman appears frozen in mid-jump with her arms and legs splayed wide with a plain background .|Эмэгтэй хүн гар, хөлөөрөө үсрэн гарч ирэв.
4584249516.jpg|0|A man in a blue shirt and gray pants is walking on a shady gravel path past a beige-colored structure .|Цэнхэр цамцтай эр, саарал өмд нь шар өнгийн өнгөт бүтэцтэй хамт сүүдэртэй хайргатай харьцаатай алхаж байна.
4584261734.jpg|0|Three older men in aprons dish up pancakes and bacon in a kitchen .|Хормогч дахь гурван том эрэгтэй хүн гал тогооны өрөөнд бин, гахайн махыг тавьдаг.
4584266011.jpg|0|A filming crew get ready to take pictures of a woman as a man holds an umbrella above her .|Зураг авах багийнхан эмэгтэй хүний дээр шүхэр барьж байгаа эмэгтэйн зургийг авахад бэлэн болжээ.
4584266249.jpg|0|these two ladies are reading a sign while shading themselves from the sun with their umbrellas .|Эдгээр хоёр бүсгүй нар өөрсдийгөө шүхэртэй хамт сүүдэрлэж байхдаа тэмдэг уншиж байна.
4584266997.jpg|0|A man with the Japanese flag on his shirt is sitting on the base of a statue .|Түүний цамцан дээр Японы тугтай хүн хөшөөний суурь дээр сууж байна.
4584267445.jpg|0|A woman in beige crop pants and a flowered top standing and waiting for the train to come into the station .|Шаргал тариалангийн өмд, цэцэглэсэн дээд ба цэцэглэж, галт тэрэгний буудал руу орохыг хүлээж байна.
4584267739.jpg|0|Two asian women wearing hats being pulled in a rickshaw by an asian male with a headband .|Азийн хоёр эмэгтэй малгай өмсдөг хоёр азийн эмэгтэйчүүд.
4584305340.jpg|0|A Old man washing the windows of city lights books .|Хөгшин хүн хотын гэрлийн номыг угааж байна.
4584341152.jpg|0|"A funny picture of a white men with his left arm written in green "" Good DNA ! TRY ME "" ."|"Ногоон ""сайн гартаа бичсэн цагаан арьстнуудын инээдтэй харц"" Сайн ДНХ! Намайг туршиж үзээрэй."
4584359306.jpg|0|Two women sit down in a cafeteria together , while a group of four people appear to talk on the other side of the room .|Хоёр эмэгтэй байшинд сууж, дөрвөн хүн хамтдаа сууж байхад дөрвөн хүн өрөөний нөгөө талд ярилцаж байгаа бололтой.
4584450444.jpg|0|"A group of people wearing coats and sweaters are shopping at produce and deli stands ; one stand has a purple sign that says "" TRIPE "" ."|"Бүлэг, цамц өмсөж, цамц өмсөж, цамц өмсдөг, Делигийн дэлгүүрт дэлгүүр хэсдэг;Нэг зогсолт нь ""Tripe"" гэж хэлдэг нил ягаан тэмдэгтэй байдаг."
4584668422.jpg|0|An older man in a white plaid shirt is using a sewing machine , stitching some fabric .|Цагаан Пласс цамц өмссөн хөгшин хүн оёдлын машиныг оёх машин ашиглаж, хэдэн даавуугаар оё.
458469106.jpg|0|A woman in a gray sweater is folding and constructing as light shines on her face .|Саарал цамц өмссөн эмэгтэй нь түүний нүүрэн дээр гэрэлтэж, барьж, барьсан юм.
4584895948.jpg|0|There is a group of asian people by a smoking area sign , the woman by the shopping bags is smoking .|Тамхи татах хэсгийн цүнх, дэлгүүрийн уутанд байгаа эмэгтэй хүн төрөлхтний бүлэг байдаг.
4584899392.jpg|0|This shows a group of people some of whom are dressed in kimonos talking to other people while others are watching a fireworks display .|Энэ нь бусад хүмүүстэй ямар нэгэн байдлаар хувцаслаж, бусад хүмүүстэй ямар нэг хүн хувцасладаг.
4584924559.jpg|0|Two young boys are sleeping in their car seats in the back of a car .|Хоёр залуу хөвгүүд машины арын хэсэгт машины суудалдаа унтаж байна.
4584925685.jpg|0|A football game where 2 members of the White team are tackling a member of the red team .|Цагаан багийн 2 гишүүнтэй хөлбөмбөгийн тоглоом улаан багийн гишүүнийг даван туулж байна.
4585470754.jpg|0|There is one football player with the ball with one of his teammates following along with a member of the other team trying to catch up .|Бөмбөгтэй хамт нэг хөлбөмбөгийн тоглогчтой хамт нэг хөлбөмбөгчинтэй хамт нэг багийн гишүүд барьж авахыг хичээдэг.
4585566336.jpg|0|A man wearing a white striped shirt is dancing in the center of the dance floor with a woman in a showy black and white dress and high black leather boots .|Цагаан судалтай цамц өмссөн хүн бүжгийн талбайд бүжгийн шалан дээр бүжиглэж байна.
4585839343.jpg|0|A woman is sitting in a field , blowing on a handful of dandelions , which are also called wishing flowers .|Эмэгтэй хүн талбайд сууж, цөөн тооны Dandelion дээр сууж, цөөн тооны Dandelions-ийг үлээж байна.
4586078680.jpg|0|A woman is sitting on the ground while weaving something with the colors red , white , and blue .|Улаан, цагаан, цэнхэр өнгөтэй ямар нэгэн зүйлийг нэхэж байхдаа эмэгтэй газар газар сууж байна.
4586137415.jpg|0|A young Asian girl wearing a pink outfit is walking past a bicycle .|Ягаан өнгийн хувцас өмссөн залуу ази охин унадаг дугуйгаар алхаж байна.
4586247564.jpg|0|A middle-aged woman with a pink satchel purse walking along a breakwater in a European coastal town .|Дунд настай эмэгтэйн түрийвчтэй, Европын эрэгт
4586925517.jpg|0|"An elderly man held the "" COLLEGE KRUGT DINERS EN 3 % "" sign as he stood near the brick building ."|"Ахмад настай хүн ""Коллежийн Крюгт Кругт Кругт en 3%"" Тэмцээний ойролцоо зогсож байхдаа тэмдэг."
4587060645.jpg|0|A man wearing a red jacket walks on stilts in front of a group of people .|Улаан хүрэм өмссөн эр хүн бүлгийн хүмүүсийн өмнө ширтэж байдаг.
4587060991.jpg|0|Two guys in front of a souvenir shop , with one guy in a red scarf talking on the phone .|Бэлэг дурсгалын айлын дэлгүүрийн урд хоёр залуу, улаан ороолт дээр нэг залуу утсаар ярьж байна.
4587222385.jpg|0|A waitress takes an order during a busy day at an outdoor restaurant .|Зөөгч нь гадаа ресторанд завгүй өдрүүдэд захиалга авдаг.
4587229099.jpg|0|A small group of blond-hair women sitting on benches outdoors outside a Starbuck 's coffee shop on a nice-weather day .|Starbucks-ийн цөөн тооны Бямба гарагууд нь Старбакс Кофены дэлгүүрээс гадуур сууж буй цөөн хэдэн бүлэгт сууж байна.
4587246499.jpg|0|A young , blond woman is looking carefully at a gun as another woman points it .|Залуу, шаргал эмэгтэй хүн өөр эмэгтэйг анхааралтай ажиглаж байна.
458730998.jpg|0|A young woman wearing a red shirt and reddish pink skirt standing in the doorway of an old blue concrete building .|Улаан цамц өмссөн улаан цамц өмссөн залуу эмэгтэй хуучин цэнхэр бетонон барилгын үүдэнд зогсож байв.
458735196.jpg|0|This is a strange sight , a dog delivering a cookie .|Энэ бол хачин хараа, жигнэмэг өгдөг нохой юм.
45876127.jpg|0|A group of Amish people , men and women , standing at a fence overlooking a forest and river .|Эрэгтэй, эрчүүд, эрэгтэй, эмэгтэй хүмүүс ой, голыг үл тоомсорлож буй хашаан дээр зогсож байна.
458761952.jpg|0|A blond , blue-eyed toddler girl is dressed in pink and wearing a plaid pink bucket hat , and is eating an ice cream cone in the park on a cloudy day .|Блонд, цэнхэр нүдтэй хүүхэд охин ягаан өнгийн хувцас өмсөж, Plait and Play Bake Mat-д үүлэрхэг өдөр өмсдөг бөгөөд үүлэрхэг өдөр зайрмагны конусыг идэж байна.
4587710350.jpg|0|Group of three people stand outside a building holding an over sized ukulele and an accordion .|Гурван хүний бүлгийн бүлгийн нэг нь байшин, ukulele, allibion.
4587802803.jpg|0|Two security guards watch museum goers examine an exhibit .|Аюулгүй байдлын хоёр хамгаалагчид Музейн явдлыг үзэж үзмэрүүдийг үзэж байна.
4587837067.jpg|0|A blond pregnant woman in a black shirt is standing in the kitchen with her hand on her belly holding something in her mouth .|Хар цамцтай шар өнгийн жирэмсэн эмэгтэйг гал тогооны өрөөнд гэдэс дээрээ гараараа бариад гараараа барьдаг.
4587844742.jpg|0|Two blond females , one in a red striped tank top , the second in a blue tank top , sitting at a table , talking .|Хоёр шаргал эмэгчин, улаан судалтай танкийн дээд хэсэгт нэг нь, хоёр дахь нь цэнхэр танк дээр, хоёр дахь нь цэнхэр танк дээр сууж, ширээн дээр сууж, ширээн дээр сууж, ярилцаж байна.
4587858056.jpg|0|A woman is doing the makeup of another woman who has green highlights in her hair and a bright , white lipstick .|Эмэгтэй хүн үстэй, тод, цагаан уруулын будагтай ногоон өнгөтэй өөр эмэгтэй хийж байна.
4587894743.jpg|0|A bearded man in a white shirt and black trousers is walking down the sidewalk along side a red brick building with white graffiti images .|Цагаан цамц, хар өмд, хар өмд нь цагаан граффити зурагтай улаан тоосгон бүхий явган хүний зам дээр алхаж байна.
4587901777.jpg|0|A group of ladies sit around a black table in front of a brick wall with a building in the background .|Бүлэг бүсгүйчүүд цоорхойтой тоосгон хананы өмнө хар ширээний ард сууж байв.
4587968317.jpg|0|A man in a blue shirt is dumping the contents of the wheelbarrow onto the ground , while two men look on .|Цэнхэр цамцтай эр хүн тэргэнцэр дээр газар тариалангийн агуулгыг газар дээрээс нь хаядаг.
4588335754.jpg|0|A busy kitchen preparing for the afternoon rush .|Үдээс хойш яарч завгүй гал тогоо.
458833944.jpg|0|Two african americans one female and the other male , the female appears to be topless with jewelry and the male has an orange shirt with tan colored pants they are in the middle of a hot plain area .|Нэг эмэгтэй Америкчууд нэг эмэгтэй, нөгөө эрэгтэй, нөгөө эрэгтэй, эмэгтэй нь үнэт эдлэл, эрчүүдийг үнэт эдлэлтэй, эрэгтэй өмд өмссөн өмдтэй.
4588353079.jpg|0|This man has his face painted orange and is wearing a velvet blue costume .|Энэ хүн нүүрэндээ улбар шар өнгөөр будаж, хилэн цэнхэр өнгийн хувцас өмссөн байна.
4588427619.jpg|0|A few men looking at a sidewalk vendor in a shopping mall selling colorful flowers in pots .|Хажуугийн дэлгүүрт хувцасны дэлгүүрт хувцасны дэлгүүрт харагддаг цөөн тооны эрчүүд.
4588444998.jpg|0|A young woman in a brown shirt is in a kitchen , rubbing a piece of paper on a cookie sheet .|Браун цамцтай залуу эмэгтэй гал тогооны өрөөнд байдаг, күүки хуудсан дээр цаасан дээр тавьдаг.
4588654711.jpg|0|Two people in the foreground look like shadows against the neon signs of the businesses at night .|Нүүрэн дээрх хоёр хүн шөнийн цагаар бизнес эрхлэгчид неон шинж тэмдгүүдийн эсрэг сүүдэртэй харагдаж байна.
458884858.jpg|0|A lone , 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room .|Ганцаардсан, 2-3 настай, цэнхэр хүрэмтэй, Хүлээлгийн өрөөнд, өрөөнд ямар нэгэн зүйл үзэж байхдаа өвдөг дээрээ жижиг хар хуванцар зүйлийг буцааж тавь.
4588947862.jpg|0|A man and a woman look at a street art installation , the man holds a cellphone and the woman holds up a photograph .|Эрэгтэй, эмэгтэй хүн гудамжны урлагийн суулгалтыг хардаг, тэр хүн гар утастай, эмэгтэй хүн гэрэл зураг барьдаг.
4588980563.jpg|0|A group of men paint on a series of canvasses in front of a brick wall on a public street .|Олон нийтийн гудамжинд тоосгон ханан дахь цуврал хавцлын цувралын бүлэг.
4589015431.jpg|0|A senior citizen wearing a blue jacket and cap stands in front of a GNC building .|Цэнхэр хүрэм өмссөн ахмад иргэн, малгай нь GNC-ийн байрны урд зогсож байна.
4589027891.jpg|0|A man standing in a shadowed area wearing a suit jacket , with city buildings behind him .|Сүүдэрлэсэн хувцсанд костюмтай хүрэм өмсөж байсан хүн.
4589045905.jpg|0|a blond woman standing in front of a store holding a white shopping bag and her cellphone|Цагаан дэлгүүрийн цүнх, гар утсаа хадгалах дэлгүүрийн урд зогсож байсан шаргал эмэгтэй
4589050600.jpg|0|A woman stops to view the text message on her phone as she makes her way through the city .|Хотын замаар түүнийг текст мессежээр текст мессежийг харахаа больсон.
4589054322.jpg|0|"A man on the street standing in front of an "" Alessi "" sign is kneeling , tuning his guitar ."|"""Алесси"" гэсэн тэмдэг дээрх хүн ""Алесси"" тэмдгийн урд зогсож, гитараа тааруулж байна."
4589055346.jpg|0|A smiling young female soccer fan wears a red and white shirt with a soccer logo , a red vinyl cape , and a hat that looks like a soccer ball with a small Swiss flag attached .|Инээмсэглэсэн залуу эмэгтэй хөлбөмбөгийн сэнс нь улаан, цагаан өнгийн цамц өмсдөг, улаан винилийн бөмбөг, хөл бөмбөгт бөмбөлөг, хөл бөмбөгийн бөмбөгтэй, жижигхэн хөлбөмбөгчин бөмбөгтэй, малгай шиг харагддаг малгай өмсдөг.
4589066890.jpg|0|A man pushes a baby stroller , with a woman dressed in yellow follows behind , while two children , once wearing sunglasses , the other with a mohawk , walk down the road .|Эр хүн хүүхэдтэйгээ чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга чанга, нөгөө нь нарны шил зүүж, нөгөө нь нарны шил зүүж, нөгөө нь нарны шил зүүж, нөгөө нь нарны шил зүүж, нөгөө нь нарны шил зүүж, нөгөө нь нарны шил, нөгөө нь нарны шил зүүж, нөгөө нь нарны шил зүүсэн, нөгөө нь нарны шил зүүсэн, нөгөө нь нарны шил, нөгөө нь нарны шил, нөгөө нь нарны шил зүүж, нөгөө нь нарны шил зүүж, нөгөө нэг нь нарны шил зүүсэн, нөгөө нь мохавк өмсөж, нөгөө нь мохавк өмсдөг.
4589342421.jpg|0|A man in a denim jacket is looking at something in the evening .|Жинсэн хүрэмтэй хүн орой ямар нэгэн зүйл харж байна.
